Indicator,Description
Rand per British Pound,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2023-11-06,22.5454
 2023-11-03,22.4827
 2023-11-02,22.4291
 2023-11-01,22.7504
 2023-10-31,22.8769
 2023-10-30,22.7963
 2023-10-27,22.8833
 2023-10-26,23.1813
 2023-10-25,23.1874
 2023-10-24,23.2582
 2023-10-23,23.2279
 2023-10-20,23.16
 2023-10-19,23.161
 2023-10-18,22.8527
 2023-10-17,22.8692
 2023-10-16,22.983
 2023-10-13,23.1677
 2023-10-12,23.1683
 2023-10-11,23.2349
 2023-10-10,23.4763
 2023-10-09,23.592
 2023-10-06,23.6897
 2023-10-05,23.5935
 2023-10-04,23.3977
 2023-10-03,23.2412
 2023-10-02,23.1132
 2023-09-29,23.0114
 2023-09-28,23.3763
 2023-09-27,23.1618
 2023-09-26,22.9782
 2023-09-22,23.0926
 2023-09-21,23.1724
 2023-09-20,23.4276
 2023-09-19,23.4867
 2023-09-18,23.5306
 2023-09-15,23.6901
 2023-09-14,23.562
 2023-09-13,23.5778
 2023-09-12,23.5962
 2023-09-11,23.6555
 2023-09-08,23.8754
 2023-09-07,24.0177
 2023-09-06,24.1834
 2023-09-05,24.1181
 2023-09-04,23.7759
 2023-09-01,23.7817
 2023-08-31,23.7251
 2023-08-30,23.5229
 2023-08-29,23.3001
 2023-08-28,23.5029
 2023-08-25,23.4847
 2023-08-24,23.6373
 2023-08-23,23.6661
 2023-08-22,24.0782
 2023-08-21,24.245
 2023-08-18,24.2698
 2023-08-17,24.4017
 2023-08-16,24.2865
 2023-08-15,24.432
 2023-08-14,24.0785
 2023-08-11,23.9769
 2023-08-10,23.9837
 2023-08-08,23.9523
 2023-08-07,23.6717
 2023-08-04,23.7384
 2023-08-03,23.6584
 2023-08-02,23.5141
 2023-08-01,23.1704
 2023-07-31,22.74
 2023-07-28,22.8707
 2023-07-27,22.7132
 2023-07-26,22.7722
 2023-07-25,22.7578
 2023-07-24,23.1357
 2023-07-21,23.0752
 2023-07-20,22.9642
 2023-07-19,23.0841
 2023-07-18,23.484
 2023-07-17,23.6137
 2023-07-14,23.643
 2023-07-13,23.5719
 2023-07-12,23.9062
 2023-07-11,24.0688
 2023-07-10,24.0604
 2023-07-07,24.3081
 2023-07-06,23.9728
 2023-07-05,23.8112
 2023-07-04,23.7392
 2023-07-03,23.7233
 2023-06-30,23.8922
 2023-06-29,23.6236
 2023-06-28,23.7313
 2023-06-27,23.5497
 2023-06-26,23.7731
 2023-06-23,23.6571
 2023-06-22,23.4149
 2023-06-21,23.3362
 2023-06-20,23.2034
 2023-06-19,23.2879
 2023-06-15,23.2071
 2023-06-14,23.3861
 2023-06-13,23.439
 2023-06-12,23.4805
 2023-06-09,23.6122
 2023-06-08,23.6411
 2023-06-07,23.7858
 2023-06-06,23.8804
 2023-06-05,23.9656
 2023-06-02,24.4762
 2023-06-01,24.6792
 2023-05-31,24.4423
 2023-05-30,24.4537
 2023-05-29,24.3461
 2023-05-26,24.3935
 2023-05-25,23.8683
 2023-05-24,23.8569
 2023-05-23,23.8548
 2023-05-22,23.9962
 2023-05-19,24.006
 2023-05-18,24.1764
 2023-05-17,23.8635
 2023-05-16,23.9268
 2023-05-15,23.7556
 2023-05-12,24.2849
 2023-05-11,23.8153
 2023-05-10,23.6961
 2023-05-09,23.2224
 2023-05-08,23.1631
 2023-05-05,23.1394
 2023-05-04,22.9634
 2023-05-03,22.9995
 2023-05-02,22.9979
 2023-04-28,22.9531
 2023-04-26,22.7895
 2023-04-25,22.7085
 2023-04-24,22.5758
 2023-04-21,22.4591
 2023-04-20,22.6439
 2023-04-19,22.7494
 2023-04-18,22.6723
 2023-04-17,22.4855
 2023-04-14,22.6701
 2023-04-13,22.858
 2023-04-12,22.88
 2023-04-11,22.826
 2023-04-06,22.6224
 2023-04-05,22.3525
 2023-04-04,22.1992
 2023-04-03,22.1045
 2023-03-31,22.0127
 2023-03-30,22.3369
 2023-03-29,22.3292
 2023-03-28,22.5072
 2023-03-27,22.4178
 2023-03-24,22.2617
 2023-03-23,22.3192
 2023-03-22,22.7476
 2023-03-20,22.6008
 2023-03-17,22.237
 2023-03-16,22.1911
 2023-03-15,22.1451
 2023-03-14,22.1266
 2023-03-13,21.9319
 2023-03-10,22.0506
 2023-03-09,22.0782
 2023-03-08,22.0911
 2023-03-07,21.987
 2023-03-06,21.8984
 2023-03-03,21.7554
 2023-03-02,21.7616
 2023-03-01,21.9397
 2023-02-28,22.2466
 2023-02-27,21.9453
 2023-02-24,22.0386
 2023-02-23,22.0622
 2023-02-22,22.2202
 2023-02-21,21.906
 2023-02-20,21.7071
 2023-02-17,21.7793
 2023-02-16,21.7012
 2023-02-15,21.7356
 2023-02-14,21.7061
 2023-02-13,21.6825
 2023-02-10,21.5018
 2023-02-09,21.4789
 2023-02-08,21.1833
 2023-02-07,21.2188
 2023-02-06,21.092
 2023-02-03,20.9124
 2023-02-02,21.1142
 2023-02-01,21.4335
 2023-01-31,21.4607
 2023-01-30,21.3484
 2023-01-27,21.3486
 2023-01-26,21.2014
 2023-01-25,21.2335
 2023-01-24,21.3958
 2023-01-23,21.3307
 2023-01-20,21.3162
 2023-01-19,21.1525
 2023-01-18,20.9134
 2023-01-17,20.9057
 2023-01-16,20.7529
 2023-01-13,20.4423
 2023-01-12,20.5166
 2023-01-11,20.7062
 2023-01-10,20.6465
 2023-01-09,20.6709
 2023-01-06,20.4375
 2023-01-05,20.403
 2023-01-04,20.3254
 2023-01-03,20.3773
 2022-12-30,20.4714
 2022-12-29,20.4911
 2022-12-28,20.7132
 2022-12-23,20.6326
 2022-12-22,20.7506
 2022-12-21,21.0151
 2022-12-20,21.0672
 2022-12-19,21.2861
 2022-12-15,21.4418
 2022-12-14,21.2499
 2022-12-13,21.5937
 2022-12-12,21.4731
 2022-12-09,21.0068
 2022-12-08,20.9578
 2022-12-07,21.0603
 2022-12-06,21.1484
 2022-12-05,21.179
 2022-12-02,21.489
 2022-12-01,21.052
 2022-11-30,20.3042
 2022-11-29,20.4633
 2022-11-28,20.6724
 2022-11-25,20.6816
 2022-11-24,20.4577
 2022-11-23,20.4844
 2022-11-22,20.4951
 2022-11-21,20.5337
 2022-11-18,20.6842
 2022-11-17,20.6049
 2022-11-16,20.5086
 2022-11-15,20.3855
 2022-11-14,20.3747
 2022-11-11,20.2709
 2022-11-10,20.2535
 2022-11-09,20.4326
 2022-11-08,20.3908
 2022-11-07,20.3444
 2022-11-04,20.5319
 2022-11-03,20.7298
 2022-11-02,20.8759
 2022-11-01,20.9639
 2022-10-31,21.1689
 2022-10-28,20.8398
 2022-10-27,20.8656
 2022-10-26,20.8816
 2022-10-25,20.8753
 2022-10-24,20.7347
 2022-10-21,20.4816
 2022-10-20,20.5268
 2022-10-19,20.461
 2022-10-18,20.4367
 2022-10-17,20.4818
 2022-10-14,20.4694
 2022-10-13,20.337
 2022-10-12,20.0288
 2022-10-11,19.9822
 2022-10-10,20.1123
 2022-10-07,20.1366
 2022-10-06,20.1572
 2022-10-05,20.2295
 2022-10-04,20.1869
 2022-10-03,20.2191
 2022-09-30,20.0696
 2022-09-29,19.4536
 2022-09-28,19.3782
 2022-09-27,19.4365
 2022-09-26,19.4564
 2022-09-23,19.8446
 2022-09-22,19.978
 2022-09-21,20.0893
 2022-09-20,20.2042
 2022-09-19,20.2078
 2022-09-16,20.0825
 2022-09-15,20.1381
 2022-09-14,20.0789
 2022-09-13,19.966
 2022-09-12,19.9883
 2022-09-09,20.1151
 2022-09-08,19.9154
 2022-09-07,19.9518
 2022-09-06,19.813
 2022-09-05,19.9002
 2022-09-02,20.007
 2022-09-01,19.8807
 2022-08-31,19.8205
 2022-08-30,19.7072
 2022-08-29,19.7535
 2022-08-26,19.8331
 2022-08-25,19.968
 2022-08-24,20.1599
 2022-08-23,20.0238
 2022-08-22,20.127
 2022-08-19,20.0776
 2022-08-18,20.1334
 2022-08-17,19.9496
 2022-08-16,19.8403
 2022-08-15,19.7468
 2022-08-12,19.6852
 2022-08-11,19.8744
 2022-08-10,20.0315
 2022-08-08,20.1904
 2022-08-05,20.1325
 2022-08-04,20.385
 2022-08-03,20.3608
 2022-08-02,20.0922
 2022-08-01,20.138
 2022-07-29,20.0819
 2022-07-28,20.3326
 2022-07-27,20.3309
 2022-07-26,20.124
 2022-07-25,20.1776
 2022-07-22,20.3078
 2022-07-21,20.5747
 2022-07-20,20.5661
 2022-07-19,20.4473
 2022-07-18,20.2759
 2022-07-15,20.3905
 2022-07-14,20.1825
 2022-07-13,20.2371
 2022-07-12,20.2684
 2022-07-11,20.3065
 2022-07-08,20.1134
 2022-07-07,20.1082
 2022-07-06,19.9888
 2022-07-05,19.7902
 2022-07-04,19.8206
 2022-07-01,19.8124
 2022-06-30,19.7369
 2022-06-29,19.6542
 2022-06-28,19.5038
 2022-06-27,19.4794
 2022-06-24,19.5256
 2022-06-23,19.501
 2022-06-22,19.5349
 2022-06-21,19.5847
 2022-06-20,19.6198
 2022-06-17,19.5867
 2022-06-15,19.32
 2022-06-14,19.5743
 2022-06-13,19.626
 2022-06-10,19.3211
 2022-06-09,19.0387
 2022-06-08,19.2336
 2022-06-07,19.293
 2022-06-06,19.3039
 2022-06-03,19.3856
 2022-06-02,19.4469
 2022-06-01,19.5617
 2022-05-31,19.6301
 2022-05-30,19.5931
 2022-05-27,19.7426
 2022-05-26,19.7584
 2022-05-25,19.6129
 2022-05-24,19.7873
 2022-05-23,19.8943
 2022-05-20,19.7552
 2022-05-19,19.9015
 2022-05-18,19.7702
 2022-05-17,20.0154
 2022-05-16,19.8682
 2022-05-13,19.5995
 2022-05-12,19.787
 2022-05-11,19.819
 2022-05-10,19.8982
 2022-05-09,19.8395
 2022-05-06,19.8313
 2022-05-05,19.5829
 2022-05-04,19.8501
 2022-05-03,20.0999
 2022-04-29,19.9565
 2022-04-28,19.9167
 2022-04-26,19.93
 2022-04-25,19.961
 2022-04-22,19.9939
 2022-04-21,19.8374
 2022-04-20,19.6142
 2022-04-19,19.1643
 2022-04-14,19.2405
 2022-04-13,18.8008
 2022-04-12,18.9312
 2022-04-11,19.0436
 2022-04-08,19.1986
 2022-04-07,19.2598
 2022-04-06,19.192
 2022-04-05,19.0793
 2022-04-04,19.1427
 2022-04-01,19.1354
 2022-03-31,18.9925
 2022-03-30,18.9917
 2022-03-29,19.2313
 2022-03-28,19.119
 2022-03-25,19.172
 2022-03-24,19.4732
 2022-03-23,19.6069
 2022-03-22,19.5901
 2022-03-18,19.6411
 2022-03-17,19.6742
 2022-03-16,19.6653
 2022-03-15,19.667
 2022-03-14,19.7241
 2022-03-11,19.7218
 2022-03-10,19.8345
 2022-03-09,19.912
 2022-03-08,20.05
 2022-03-07,20.2989
 2022-03-04,20.3412
 2022-03-03,20.5132
 2022-03-02,20.5686
 2022-03-01,20.5351
 2022-02-28,20.6968
 2022-02-25,20.5161
 2022-02-24,20.5747
 2022-02-23,20.4511
 2022-02-22,20.6211
 2022-02-21,20.5893
 2022-02-18,20.3703
 2022-02-17,20.3787
 2022-02-16,20.4197
 2022-02-15,20.3463
 2022-02-14,20.5289
 2022-02-11,20.4755
 2022-02-10,20.5188
 2022-02-09,20.7949
 2022-02-08,21.0243
 2022-02-07,20.9284
 2022-02-04,20.7247
 2022-02-03,20.8591
 2022-02-02,20.6524
 2022-02-01,20.5888
 2022-01-31,20.9064
 2022-01-28,20.7178
 2022-01-27,20.5482
 2022-01-26,20.4867
 2022-01-25,20.6601
 2022-01-24,20.5175
 2022-01-21,20.5631
 2022-01-20,20.7875
 2022-01-19,21.0095
 2022-01-18,21.0684
 2022-01-17,21.056
 2022-01-14,21.0359
 2022-01-13,21.0092
 2022-01-12,21.1086
 2022-01-11,21.2159
 2022-01-10,21.2678
 2022-01-07,21.2601
 2022-01-06,21.4773
 2022-01-05,21.6818
 2022-01-04,21.462
 2022-01-03,21.4407
 2021-12-31,21.4752
 2021-12-30,21.5144
 2021-12-29,21.1274
 2021-12-28,20.9203
 2021-12-24,20.9652
 2021-12-23,21.086
 2021-12-22,21.0288
 2021-12-21,20.9287
 2021-12-20,20.9051
 2021-12-17,21.1542
 2021-12-15,21.4198
 2021-12-14,21.1342
 2021-12-13,21.0941
 2021-12-10,21.1879
 2021-12-09,20.7457
 2021-12-08,20.9846
 2021-12-07,21.1225
 2021-12-06,21.1756
 2021-12-03,21.2854
 2021-12-02,21.1597
 2021-12-01,21.0732
 2021-11-30,21.5119
 2021-11-29,21.5256
 2021-11-26,21.7223
 2021-11-25,21.1315
 2021-11-24,21.1719
 2021-11-23,21.2531
 2021-11-22,21.1296
 2021-11-19,21.067
 2021-11-18,20.9527
 2021-11-17,20.8038
 2021-11-16,20.4835
 2021-11-15,20.4364
 2021-11-12,20.4962
 2021-11-11,20.672
 2021-11-10,20.3754
 2021-11-09,20.2684
 2021-11-08,20.2289
 2021-11-05,20.5951
 2021-11-04,20.8087
 2021-11-03,20.8919
 2021-11-02,20.9779
 2021-10-29,21.0568
 2021-10-28,20.8272
 2021-10-27,20.5884
 2021-10-26,20.2588
 2021-10-25,20.3367
 2021-10-22,20.1359
 2021-10-21,19.9988
 2021-10-20,19.9811
 2021-10-19,20.1163
 2021-10-18,20.2057
 2021-10-15,20.1557
 2021-10-14,20.1723
 2021-10-13,20.294
 2021-10-12,20.4095
 2021-10-11,20.4069
 2021-10-08,20.314
 2021-10-07,20.2569
 2021-10-06,20.5852
 2021-10-05,20.4689
 2021-10-04,20.2925
 2021-10-01,20.2349
 2021-09-30,20.3352
 2021-09-29,20.315
 2021-09-28,20.5676
 2021-09-27,20.587
 2021-09-23,20.0392
 2021-09-22,20.1525
 2021-09-21,20.1873
 2021-09-20,20.2233
 2021-09-17,20.1746
 2021-09-16,20.0469
 2021-09-15,19.7728
 2021-09-14,19.6501
 2021-09-13,19.5963
 2021-09-10,19.5655
 2021-09-09,19.5179
 2021-09-08,19.7146
 2021-09-07,19.7571
 2021-09-06,19.7474
 2021-09-03,19.9404
 2021-09-02,19.7397
 2021-09-01,19.8713
 2021-08-31,20.0262
 2021-08-30,20.186
 2021-08-27,20.415
 2021-08-26,20.5427
 2021-08-25,20.5145
 2021-08-24,20.7779
 2021-08-23,20.8576
 2021-08-20,20.9169
 2021-08-19,20.7614
 2021-08-18,20.5055
 2021-08-17,20.5576
 2021-08-16,20.4579
 2021-08-13,20.4795
 2021-08-12,20.3776
 2021-08-11,20.4995
 2021-08-10,20.4958
 2021-08-06,20.236
 2021-08-05,20.0122
 2021-08-04,19.867
 2021-08-03,19.9361
 2021-08-02,20.2164
 2021-07-30,20.3408
 2021-07-29,20.4643
 2021-07-28,20.5376
 2021-07-27,20.5744
 2021-07-26,20.5824
 2021-07-23,20.2623
 2021-07-22,19.9886
 2021-07-21,20.0347
 2021-07-20,19.8883
 2021-07-19,19.8452
 2021-07-16,20.0082
 2021-07-15,20.0936
 2021-07-14,20.4182
 2021-07-13,20.0898
 2021-07-12,19.8956
 2021-07-09,19.6799
 2021-07-08,19.856
 2021-07-07,19.7951
 2021-07-06,19.7269
 2021-07-05,19.7256
 2021-07-02,19.8988
 2021-07-01,19.7275
 2021-06-30,19.7878
 2021-06-29,19.8403
 2021-06-28,19.8411
 2021-06-25,19.6926
 2021-06-24,19.9448
 2021-06-23,19.7836
 2021-06-22,19.8853
 2021-06-21,19.8743
 2021-06-18,19.5601
 2021-06-17,19.6134
 2021-06-15,19.3931
 2021-06-14,19.3671
 2021-06-11,19.2023
 2021-06-10,19.2947
 2021-06-09,19.2053
 2021-06-08,19.2206
 2021-06-07,19.0535
 2021-06-04,19.2982
 2021-06-03,19.1713
 2021-06-02,19.465
 2021-06-01,19.497
 2021-05-31,19.4756
 2021-05-28,19.616
 2021-05-27,19.3483
