Municipality,Artificial Waterbodies,Commercial,Consolidated,Extraction Sites,Fallow Lands & Old Fields,Herbaceous Wetlands,Industrial,Karoo & Fynbos Shubland,Natural Grassland,Natural Waterbodies,Natural Wooded Land,Permanent Crops,Planted Forest,Residential,Shrubs,Smallholdings,Surface Infrastructure,Temporary Crops,Transport,Unconsolidated,Urban Vegetation,Village,Waste & Resource Dumps,Woody Wetlands
blue crane route,0.14599397093868077,0.005747965824442903,0.04400196489290113,0.00847717014986207,0.3108488325182267,0.2527032720562777,0.007580572252112724,5.238326619667162,5.560924228851576,0.02001051923994758,13.706592811306738,0.030286097270029167,0.042964256865355516,0.17621084395968392,4.0612975250016525,0.0,0.0,2.400581354163323,0.12952902598286,2.3275722339340006,0.0030279265765100574,0.049138640191925556,0.0,0.0
breede valley,1.3260055282580916,0.07544223363238368,2.423876903664203,0.05896391293635938,2.5588227691348693,0.815675372846457,0.26615272145370694,13.300228166876092,8.043425726325697,0.05036201239406931,2.558223111604502,6.207241107321977,0.07634252261255761,0.508196020869288,0.0,0.007806588831013993,0.0,3.5217604782160103,0.1811328103625942,4.5525180620938075,0.1475016407539933,0.32874740210572195,0.001730643556701161,0.0
buffalo city,0.5666465112111767,0.3125920753965721,0.0,0.09119518009167313,4.167686635542471,0.12152483064715992,0.46590296604105463,0.0,4.681647711218312,0.21914902910654557,32.47861274556553,0.6828504895784409,1.9176845383176746,10.755095566651416,0.023097802717650415,0.28362614686984633,0.0,12.412391390072724,0.05471461608533334,0.3212699701768323,0.18977726618847862,0.2031704207368825,0.01944138764121874,0.003648850159432086
bushbuckridge,0.10690663888764675,0.01734617421117295,0.12608456888171418,0.010971791179130002,0.4900334169603096,0.8921867365581052,0.016288451482597843,0.0,2.949803957526303,0.06659003247420853,15.502761430305535,0.0913815274628678,0.48169338425418184,4.633312638570696,0.00035363802364784007,0.0003543908685575491,0.0,0.9105426441894926,0.05445458152180155,1.4365514253188425,0.000707780671613428,0.030440916354347414,0.0,0.0
cape agulhas,0.052156365306489934,0.02845384306153395,0.12799711202555775,0.04550112365055387,2.4149877436970724,1.339934242255209,0.16499575399563726,10.44243279860077,1.181744228069476,0.9680227700000532,6.499353174477101,0.10430628904298742,0.30504549283070465,0.26666054007580964,0.051290686771033545,0.0,0.0,12.913669790044667,0.08996301371475482,0.35615143788186165,0.01611895407661526,0.1250248542315657,0.0,0.0
cederberg,0.2237179404236022,0.012217248322460674,0.7041050783354517,0.021476529504578505,3.6070852358802057,0.44673925083459815,0.11350348896092022,16.20175084244984,6.490230039912542,0.12046584200482678,1.832541126209208,1.4097409303858566,0.07847482704186949,0.07369724854543516,0.010083763674111838,0.009259128296855613,0.0,15.69027223015682,0.10404654435897627,3.541182137596552,0.018552641598548823,0.10702841389999818,0.0,0.0
chief albert luthuli,0.39666555387641383,0.027727698241822783,0.3295058957607913,0.3093984318968843,5.4906505768248675,4.079820242168209,0.009016676038989537,0.0,27.530268119862782,0.3407396303937663,12.010332084451846,0.032820285893654905,9.826608648630888,2.295099582103114,0.0,0.0019314930119678749,0.0012854367369016953,10.146020538646626,0.07411700647925584,0.23588655177968698,0.01288569510387151,0.4328160729125241,0.2486522274651526,0.0
city of cape town,0.5505143984644424,4.2857333556365,0.45962123521403603,0.36517830675263413,4.175275953019938,1.9136795450980246,2.9481551845211627,8.257833194856184,1.6455814412527692,0.26490266852935007,5.709741151085221,2.1801982021276554,1.4438007284478407,18.719396561716895,0.0,1.3962276238236606,0.029834003916975264,4.052375639224204,0.24550233763091328,0.7156502885741416,1.124670735769726,0.43142001571110905,0.12474120415967603,0.0
city of johannesburg,0.3134361358779213,6.005413424679359,0.16105818064652339,0.45501325396795866,3.55749311271854,3.5879438393216296,3.26163319428764,0.0,10.694868075354547,0.08701691262714352,5.834307597589219,0.006527331331018772,2.615475439696085,35.23673794013171,0.0588204958626525,6.750482576503432,0.002178229465805267,2.413550472528817,0.2677158648732158,0.7093061828344942,1.827334213489599,1.0981997784913302,1.097186970132224,0.0
city of mbombela,0.2200986268948929,0.09455169342172168,0.1537540402382368,0.026649285491303142,3.0132133501923892,1.4007611874769355,0.23837251647314886,0.0,4.5038679001485225,0.0402527871973993,28.147429567962362,3.7494414673245764,4.69334968331542,4.502628925684126,0.0015107788796374008,0.27745336400610976,0.009065484925906458,1.9308538333041982,0.08949930253933744,0.167277857411298,0.058300755694836566,0.10411892652056214,0.027727446613528498,0.0
