Municipality,Barren Land,Built-up,Cultivated,Forested Land,Forested land,Grassland,Mines & Quarries,Shrubland,Waterbodies,Wetlands
impendle,0.314515420277421,2.7630427946442535,9.140807467148692,1.3582851493506776,11.503648879046503,4.320647000131433,0.002155409410275833,0.0,0.4545973778516231,1.7297977541524683
inkosi langalibalele,1.974629944638373,5.506173064168581,11.678108548614762,0.270140815286904,18.12522378769516,9.467086768019488,0.02257416073184188,0.0,0.4842253824842624,1.2184252747152535
intsika yethu,1.6404102822674547,9.649190830465075,23.880857278466568,0.2485875076855274,11.447004528105266,16.31172996881562,0.013076398305100111,0.0,0.6871451558216968,0.3325678335036058
inxuba yethemba,2.059087721501117,0.3169516813628447,3.5383875116825894,0.0,3.615728613119916,1.5707042936580324,0.008731753822894636,9.01593066027412,0.17908350094154304,0.8620164561214345
jb marks,0.04242171660430569,2.345360491916198,30.959704124780306,0.0,8.535170668917813,11.767279239892346,0.14732954224939004,0.027262871368362772,0.3959220666297991,0.9322664747739086
joe morolong,0.4545811087141693,0.8971869780260053,0.5293050829697133,0.0,21.708026780542735,11.083125956669345,0.19003846386050302,2.634705300751832,0.054455319394201604,0.0
jozini,3.6885008786201947,12.5751559430189,13.534903043884963,1.2938351377328177,22.733521775617753,10.57062499149822,0.035021943420119876,0.0030893717244932185,0.5921200925400902,1.5918567357122808
kai !garib,7.929207323424363,0.37069187474851856,0.8347253250859255,0.0,1.621930990846188,5.638540313238704,0.02783919404426264,7.1269343135909455,0.29556896831512697,0.0
kamiesberg,3.2162876872660053,0.1338352159784651,2.660710424824894,0.0,5.243642676944669,12.036281937284974,0.2728306879188184,18.25126281479671,0.019560488999626577,0.0
kannaland,9.567584741137956,0.43768166023001237,3.323105304214316,0.0,5.5491553487384655,19.424785065368216,0.0069704889976394645,27.767968217634234,0.16584371806831774,1.0613824302215475
kareeberg,13.144467375358678,0.17443871085202606,0.7666634279931727,0.0,2.293444148791709,14.456292688668666,0.023471483651598696,10.480299459971835,0.3074239377088021,0.0021437100685159903
karoo hoogland,13.972640933414356,0.15314439477710098,0.7423404314733133,0.0,1.125572818196121,6.66501227959082,0.017356923217006343,9.790136325008696,0.18927307477143335,0.055149780120316
kgatelopele,0.3656077456936712,0.5413478991199516,0.41618095373653496,0.0,15.294976681519683,13.73995385446873,0.9119077608676344,0.9097018893657969,1.298815821767674,0.0
kgetlengrivier,0.39849692467429715,0.7913119345960266,21.362546364103515,0.0,24.282476825000717,15.805487927048368,0.15804881601001702,0.004524298805777405,0.3180101927802664,0.17436771565424805
khaima,9.567924627211488,0.24888934885344557,0.1831453214136051,0.0,0.5389582512593222,6.962773309097978,0.19977744952842705,10.701985167229838,0.4439928276074805,0.0006573281950400349
kheis,3.925625024606582,0.1869228259652178,0.5321401639317334,0.0,3.83262641522499,8.884660636084742,0.015030266889788538,8.232449883241001,0.19097902680254503,0.0
king sabata dalindyebo,0.8622670439284557,18.123548265854875,23.951577848556163,0.8911858679899457,19.684354310375372,22.400654775403716,0.0639845771113244,0.0,0.07633964178283267,0.4014536477511749
knysna,0.06572604931366152,2.955182406258038,6.79683937730595,6.855166787346426,42.47362151951062,0.6325617377855887,0.0,4.128708559681144,1.418876397710691,0.5645819002999416
